"sku","name","title","family","role","technologyType","hardwareType","productRole","catalogVisibility","roleCorrectionSource","description","features","featureTags","tags","capabilities","searchTerms","manualReviewNotes"
"SW-130-TX-US","3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm","3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","3 inputs and powerful HDBaseT transmission result is this powerful switching transmitter, perfect for corporate meeting and classroom environments. Automatic or manual switching of 2 HDMIâ€™s or USB-C and CEC power triggering via HDBaseT mean a simple user experience when it matters most. Further functionality allows USB devices to be routed back to the source via USB host (or natively via USB-C) and charging for the connected USB-C device.","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","SW-130-TX-US; 3-Input In-wall HDBaseT Transmitter (2-gang US) - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core; Primary hardware",
"SW-220-TX-W","Wireless Presentation System for Seamless Presentations","Wireless Presentation System for Seamless Presentations","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","Wireless Presentation System offers smooth, cable-free presentations, ideal for meetings, classrooms, and conferences. Enhance your display experience today!","Video Wall; Processing; Seamless Switching; Wireless Casting; Presentation / Room Core","Video Wall; Processing; Seamless Switching; Wireless Casting; Presentation / Room Core","Video Wall; Processing; Seamless Switching; Wireless Casting; Presentation / Room Core","Video Wall; Processing; Seamless Switching; Wireless Casting; Presentation / Room Core","SW-220-TX-W; Wireless Presentation System for Seamless Presentations; Video Processor; Video processing hardware; Video Wall; Processing; Seamless Switching; Wireless Casting; Presentation / Room Core; Primary hardware",
"SW-540-TX-W","4x2 4K HDBaseT Switcher with Wireless Casting - WyreStorm","4x2 4K HDBaseT Switcher with Wireless Casting - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","DISCONTINUED The SW-540-TX-W is the perfect presentation switcher that meets the demanding requirements for todayâ€™s meeting spaces and conference rooms. The SW-540-TX-W is fully loaded with connectivity options, including VGA, HDMI and USB-C to ensure every laptop is compatible. In addition to the wired inputs, built-in support for Apple Airplay and Miracast allows devices to screenshare wirelessly by connecting the switcher to an existing LAN or by utilizing the integrated wireless access point. Dual outputs via H...","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Wireless Casting; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Wireless Casting; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Wireless Casting; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Wireless Casting; Presentation / Room Core","SW-540-TX-W; 4x2 4K HDBaseT Switcher with Wireless Casting - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Wireless Casting; Presentation / Room Core; Primary hardware",
"SW-620-TX-W","Wireless Conferencing Solutions for Seamless Communication","Wireless Conferencing Solutions for Seamless Communication","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","Wireless Conferencing offers hassle-free, high-quality meetings with cutting-edge technology for effective communication and collaboration.","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","SW-620-TX-W; Wireless Conferencing Solutions for Seamless Communication; Video Processor; Video processing hardware; Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms; Primary hardware",
"SW-640L-TX-W","Wireless Conferencing Solutions for Seamless Communication","Wireless Conferencing Solutions for Seamless Communication","Unified Comms","Primary hardware","Unified Comms","Unified Comms","primary-hardware","default","exact-sku-override","Wireless Conferencing offers hassle-free, high-quality meetings with cutting-edge technology for effective communication and collaboration.","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms","SW-640L-TX-W; Wireless Conferencing Solutions for Seamless Communication; Video Processor; Video processing hardware; Video Wall; Processing; Seamless Switching; Wireless Casting; Unified Comms; Primary hardware",
"SW-740-TX","4-Input 4K60 DSC HDBaseT Switcher with USB - WyreStorm","4-Input 4K60 DSC HDBaseT Switcher with USB - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","exact-sku-override","DISCONTINUED Utilizing the best in HDBaseT technology, the SW-740-TX harnesses the power of the Class C specification to deliver 5-play functionality over 100m/328ft of Cat6 cable. 4K/UHD video, Ethernet, Control & Power (PoH) can be sent to a remote display location via a compatible receiver whilst USB2.0 device data can be fed back via the USB host or USB-C ports to a connected source. The SW-740-TX has 4 switchable source inputs: 2 HDMIs supporting 18Gbps video up to 2160p 8-bit RGB/4:4:4 thanks to DSC compressi...","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core","SW-740-TX; 4-Input 4K60 DSC HDBaseT Switcher with USB - WyreStorm; Video Processor; Video processing hardware; Video Wall; Processing; HDBaseT; USB-C; USB; HDMI; Presentation / Room Core; Primary hardware",
"SWX-100-HDBT3","SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm","SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","Introducing HDBaseT 3.0 Bundled Kits! Simplify your setup with our all-in-one 4K60 4:4:4 HDBaseT 3.0 packages and experience uncompressed 4K60 AV up to 100m! Perfect for installers and end-users, with zero latency!","HDBaseT; Accessory","HDBaseT; Accessory","HDBaseT; Accessory","HDBaseT; Accessory","SWX-100-HDBT3; SW-120-TX3 Transmitter and RX3-100 Receiver Kit - WyreStorm; Product; Primary hardware; HDBaseT; Accessory",
"SWX-100-IW-UK","In-Wall Kit with the SW-120-TX3-UK Transmitter and RX3-100 Receiver - WyreStorm","In-Wall Kit with the SW-120-TX3-UK Transmitter and RX3-100 Receiver - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","Introducing HDBaseT 3.0 Bundled Kits! Simplify your setup with our all-in-one 4K60 4:4:4 HDBaseT 3.0 packages and experience uncompressed 4K60 AV up to 100m! Perfect for installers and end-users, with zero latency!","HDBaseT; Accessory","HDBaseT; Accessory","HDBaseT; Accessory","HDBaseT; Accessory","SWX-100-IW-UK; In-Wall Kit with the SW-120-TX3-UK Transmitter and RX3-100 Receiver - WyreStorm; Product; Primary hardware; HDBaseT; Accessory",
"SWX-100-IW-US","In-Wall Kit with the SW-120-TX3-US Transmitter and RX3-100 Receiver - WyreStorm","In-Wall Kit with the SW-120-TX3-US Transmitter and RX3-100 Receiver - WyreStorm","Accessory","Primary hardware","Accessory","Accessory","primary-hardware","default","fallback","Introducing HDBaseT 3.0 Bundled Kits! Simplify your setup with our all-in-one 4K60 4:4:4 HDBaseT 3.0 packages and experience uncompressed 4K60 AV up to 100m! Perfect for installers and end-users, with zero latency!","HDBaseT; Accessory","HDBaseT; Accessory","HDBaseT; Accessory","HDBaseT; Accessory","SWX-100-IW-US; In-Wall Kit with the SW-120-TX3-US Transmitter and RX3-100 Receiver - WyreStorm; Product; Primary hardware; HDBaseT; Accessory",
"SYN-CTL-HUB","IP to RS232/Relay/IR Protocol Converter - WyreStorm","IP to RS232/Relay/IR Protocol Converter - WyreStorm","Audio / Control","System controller / conditional-default","Audio / Control","Audio / Control","system-controller","conditional-default","exact-sku-override","This versatile protocol converter is designed to integrate seamlessly with the Touch10 control pad, enabling the conversion of IP protocols to RS-232, Relay, and IR protocols over a wired LAN. It offers comprehensive control capabilities for various AV and automation devices while providing contact input detection and remote-control options via a network connection.","Seamless Switching; Audio / Control","Seamless Switching; Audio / Control","Seamless Switching; Audio / Control","Seamless Switching; Audio / Control","SYN-CTL-HUB; IP to RS232/Relay/IR Protocol Converter - WyreStorm; Product; Primary hardware; Seamless Switching; Audio / Control; System controller / conditional-default",
"SYN-KEY10","Synergy 10-button Keypad Controller - WyreStorm","Synergy 10-button Keypad Controller - WyreStorm","Audio / Control","System controller / conditional-default","Audio / Control","Audio / Control","system-controller","conditional-default","exact-sku-override","The SYN-KEY10 is a simple single-room single gang RS-232 or IP control Keypad designed to be compatible with our Synergy presentation switchers and other 3rd party devices, to help create a complete solution. Up to 10 customizable keys can be programmed for single-action or multiple-action macro on one button. Build a kit with the SYN-KEY-10 with any of our Synergy products as an all-in-one solution or as a standalone controller for 3rd party devices.","Audio / Control","Audio / Control","Audio / Control","Audio / Control","SYN-KEY10; Synergy 10-button Keypad Controller - WyreStorm; Product; Primary hardware; Audio / Control; System controller / conditional-default",
"SYN-KIT-130-EU","In-Wall Presentation Kit with Control (EU) - WyreStorm","In-Wall Presentation Kit with Control (EU) - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","presentation-switcher-rule","This Synergy kit provides an all-in-one solution for BYOD applications. Perfectly suited for education or corporate markets, this kit includes a 3-input HDBaseT in-wall transmitter, HDBaseT receiver and a 2.8â€ touchscreen controller. Use this kit to create a simple solution for conference rooms, huddle spaces, training rooms, lecture halls or anywhere users will bring their own devices to present.","HDBaseT; BYOD/BYOM; Presentation / Room Core","HDBaseT; BYOD/BYOM; Presentation / Room Core","HDBaseT; BYOD/BYOM; Presentation / Room Core","HDBaseT; BYOD/BYOM; Presentation / Room Core","SYN-KIT-130-EU; In-Wall Presentation Kit with Control (EU) - WyreStorm; Product; Primary hardware; HDBaseT; BYOD/BYOM; Presentation / Room Core",
"SYN-KIT-130-US","In-Wall Presentation Kit with Control - WyreStorm","In-Wall Presentation Kit with Control - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","presentation-switcher-rule","This Synergy kit provides an all-in-one solution for BYOD applications. Perfectly suited for education or corporate markets, this kit includes a 3-input HDBaseT in-wall transmitter, HDBaseT receiver and a 2.8â€ touchscreen controller. Use this kit to create a simple solution for conference rooms, huddle spaces, training rooms, lecture halls or anywhere users will bring their own devices to present.","HDBaseT; BYOD/BYOM; Presentation / Room Core","HDBaseT; BYOD/BYOM; Presentation / Room Core","HDBaseT; BYOD/BYOM; Presentation / Room Core","HDBaseT; BYOD/BYOM; Presentation / Room Core","SYN-KIT-130-US; In-Wall Presentation Kit with Control - WyreStorm; Product; Primary hardware; HDBaseT; BYOD/BYOM; Presentation / Room Core",
"SYN-KIT-510-EU","Advanced Presentation Kit with Control (EU) - WyreStorm","Advanced Presentation Kit with Control (EU) - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","presentation-switcher-rule","This Synergy kit provides an all-in-one solution for medium-sized presentation applications. Suited for corporate or education markets that require a comprehensive solution for AV distribution and control. This kit includes a 4-input HDBaseT switcher, a feature-packed HDBaseT receiver and a 2.8â€ touchscreen controller. Use this kit to create a robust solution for medium conference spaces, corporate boardrooms, training centers and many other presentation-based applications.","HDBaseT; Presentation / Room Core","HDBaseT; Presentation / Room Core","HDBaseT; Presentation / Room Core","HDBaseT; Presentation / Room Core","SYN-KIT-510-EU; Advanced Presentation Kit with Control (EU) - WyreStorm; Product; Primary hardware; HDBaseT; Presentation / Room Core",
"SYN-KIT-510-US","Advanced Presentation Kit with Control - WyreStorm","Advanced Presentation Kit with Control - WyreStorm","Presentation / Room Core","Primary hardware","Presentation / Room Core","Presentation / Room Core","primary-hardware","default","presentation-switcher-rule","This Synergy kit provides an all-in-one solution for medium-sized presentation applications. Suited for corporate or education markets that require a comprehensive solution for AV distribution and control. This kit includes a 4-input HDBaseT switcher, a feature-packed HDBaseT receiver and a 2.8â€ touchscreen controller. Use this kit to create a robust solution for medium conference spaces, corporate boardrooms, training centers and many other presentation-based applications.","HDBaseT; Presentation / Room Core","HDBaseT; Presentation / Room Core","HDBaseT; Presentation / Room Core","HDBaseT; Presentation / Room Core","SYN-KIT-510-US; Advanced Presentation Kit with Control - WyreStorm; Product; Primary hardware; HDBaseT; Presentation / Room Core",
"SYN-TOUCH10","Synergy 10.1"" All-In-One Touchpad Controller - WyreStorm","Synergy 10.1"" All-In-One Touchpad Controller - WyreStorm","Audio / Control","System controller / conditional-default","Audio / Control","Audio / Control","system-controller","conditional-default","exact-sku-override","The SYN-TOUCH10 is a powerful LAN-based touchpad controller, compatible with WyreStorm solutions and many other third-party LAN controllable devices. The SYN-TOUCH10 is a perfect solution for corporate and education environments by providing a comprehensive control experience for an entire room. The possibilities are endless with a fully programmable and customizable software environment that takes the hassle and frustration out of a typical control system experience. Two-way communication between devices allows fo...","Audio / Control","Audio / Control","Audio / Control","Audio / Control","SYN-TOUCH10; Synergy 10.1"" All-In-One Touchpad Controller - WyreStorm; Software / Service; Software or service / request-only; Audio / Control; System controller / conditional-default",
